Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
"{'y': 0.36615926, 'x': 0.601378, 'confidence': 0.11925197}","{'y': 0.3745374, 'x': 0.5990336, 'confidence': 0.09916352}","{'y': 0.34089467, 'x': 0.5755612, 'confidence': 0.09958575}","{'y': 0.36037773, 'x': 0.6210028, 'confidence': 0.117103636}","{'y': 0.3948923, 'x': 0.51867336, 'confidence': 0.03751548}","{'y': 0.44206637, 'x': 0.60898733, 'confidence': 0.14731987}","{'y': 0.443586, 'x': 0.55171645, 'confidence': 0.068065494}","{'y': 0.54118353, 'x': 0.5813708, 'confidence': 0.07606138}","{'y': 0.55000925, 'x': 0.52461594, 'confidence': 0.05102686}","{'y': 0.5902399, 'x': 0.576009, 'confidence': 0.07257299}","{'y': 0.69665575, 'x': 0.38468358, 'confidence': 0.1798936}","{'y': 0.5980871, 'x': 0.57316196, 'confidence': 0.073762365}","{'y': 0.5767447, 'x': 0.5567413, 'confidence': 0.063804045}","{'y': 0.68717676, 'x': 0.5138367, 'confidence': 0.04699386}","{'y': 0.6966568, 'x': 0.5043671, 'confidence': 0.05541912}","{'y': 0.8281894, 'x': 0.4710625, 'confidence': 0.07366304}","{'y': 0.79883033, 'x': 0.47639096, 'confidence': 0.06419971}"
"{'y': 0.19503659, 'x': 0.5729762, 'confidence': 0.19839276}","{'y': 0.17879906, 'x': 0.59181154, 'confidence': 0.21329467}","{'y': 0.1751697, 'x': 0.5558643, 'confidence': 0.16869521}","{'y': 0.17375429, 'x': 0.6202168, 'confidence': 0.120298766}","{'y': 0.19561435, 'x': 0.40644497, 'confidence': 0.045042425}","{'y': 0.27763534, 'x': 0.6092956, 'confidence': 0.081516005}","{'y': 0.28038022, 'x': 0.34770498, 'confidence': 0.04984029}","{'y': 0.52855235, 'x': 0.60540164, 'confidence': 0.09852816}","{'y': 0.4894613, 'x': 0.31591147, 'confidence': 0.034683436}","{'y': 0.6450209, 'x': 0.5636663, 'confidence': 0.04162146}","{'y': 0.74494284, 'x': 0.40412897, 'confidence': 0.1611653}","{'y': 0.6547853, 'x': 0.5890214, 'confidence': 0.060826033}","{'y': 0.6447081, 'x': 0.42864937, 'confidence': 0.04489218}","{'y': 0.83643854, 'x': 0.530085, 'confidence': 0.07698773}","{'y': 0.8283503, 'x': 0.43459937, 'confidence': 0.12178393}","{'y': 0.9101414, 'x': 0.48415303, 'confidence': 0.046168815}","{'y': 0.90422255, 'x': 0.4129692, 'confidence': 0.062270656}"
"{'y': 0.71950245, 'x': 0.42748773, 'confidence': 0.18843661}","{'y': 0.31168026, 'x': 0.4989974, 'confidence': 0.02883072}","{'y': 0.71490204, 'x': 0.42586842, 'confidence': 0.15240617}","{'y': 0.7134133, 'x': 0.42467257, 'confidence': 0.1873803}","{'y': 0.7164904, 'x': 0.4223383, 'confidence': 0.18625833}","{'y': 0.33264107, 'x': 0.5995862, 'confidence': 0.03423992}","{'y': 0.8091321, 'x': 0.52174366, 'confidence': 0.23591559}","{'y': 0.51267344, 'x': 0.67171985, 'confidence': 0.04644161}","{'y': 0.830946, 'x': 0.5252068, 'confidence': 0.19859928}","{'y': 0.84629506, 'x': 0.41191462, 'confidence': 0.16682047}","{'y': 0.84604114, 'x': 0.4251068, 'confidence': 0.15625548}","{'y': 0.6108789, 'x': 0.59731144, 'confidence': 0.04607509}","{'y': 0.8377089, 'x': 0.4336808, 'confidence': 0.18147883}","{'y': 0.86813277, 'x': 0.5205926, 'confidence': 0.14880584}","{'y': 0.84368175, 'x': 0.4352853, 'confidence': 0.111455}","{'y': 0.94748694, 'x': 0.43300626, 'confidence': 0.061455093}","{'y': 0.9471775, 'x': 0.48187402, 'confidence': 0.06159117}"
"{'y': 0.54001576, 'x': 0.4384225, 'confidence': 0.2201582}","{'y': 0.5320159, 'x': 0.44441068, 'confidence': 0.24351531}","{'y': 0.534595, 'x': 0.4322986, 'confidence': 0.21977349}","{'y': 0.53195566, 'x': 0.4531864, 'confidence': 0.2062023}","{'y': 0.5392764, 'x': 0.41133258, 'confidence': 0.13712274}","{'y': 0.47697467, 'x': 0.56912553, 'confidence': 0.080849044}","{'y': 0.55429006, 'x': 0.43243268, 'confidence': 0.10421931}","{'y': 0.5560381, 'x': 0.57804155, 'confidence': 0.091102295}","{'y': 0.5533324, 'x': 0.4320133, 'confidence': 0.06730631}","{'y': 0.58752376, 'x': 0.5655007, 'confidence': 0.068062566}","{'y': 0.57294893, 'x': 0.44205326, 'confidence': 0.047956217}","{'y': 0.620237, 'x': 0.5501732, 'confidence': 0.060648687}","{'y': 0.605987, 'x': 0.4989341, 'confidence': 0.06478253}","{'y': 0.77852154, 'x': 0.37727278, 'confidence': 0.13034411}","{'y': 0.7426947, 'x': 0.42261517, 'confidence': 0.044306085}","{'y': 0.8532207, 'x': 0.4759526, 'confidence': 0.045149356}","{'y': 0.8354839, 'x': 0.4493473, 'confidence': 0.036916364}"
"{'y': 0.6695546, 'x': 0.38465798, 'confidence': 0.2591465}","{'y': 0.6645254, 'x': 0.3836998, 'confidence': 0.26801583}","{'y': 0.6644875, 'x': 0.38176572, 'confidence': 0.261171}","{'y': 0.66951823, 'x': 0.38019937, 'confidence': 0.26838166}","{'y': 0.66875505, 'x': 0.37719536, 'confidence': 0.23200357}","{'y': 0.6867889, 'x': 0.37813175, 'confidence': 0.2470315}","{'y': 0.6856642, 'x': 0.3811071, 'confidence': 0.29011956}","{'y': 0.5416708, 'x': 0.6256729, 'confidence': 0.03237194}","{'y': 0.67972654, 'x': 0.38550153, 'confidence': 0.1834162}","{'y': 0.8231343, 'x': 0.49056897, 'confidence': 0.143531}","{'y': 0.7005374, 'x': 0.382788, 'confidence': 0.2121753}","{'y': 0.6428535, 'x': 0.5679461, 'confidence': 0.04295868}","{'y': 0.704334, 'x': 0.39340457, 'confidence': 0.12620229}","{'y': 0.8366566, 'x': 0.48972565, 'confidence': 0.13063677}","{'y': 0.8151963, 'x': 0.42645746, 'confidence': 0.104206264}","{'y': 0.9807102, 'x': 0.44979972, 'confidence': 0.057740256}","{'y': 0.977959, 'x': 0.45312786, 'confidence': 0.06717655}"
"{'y': 0.54465663, 'x': 0.57186997, 'confidence': 0.28843153}","{'y': 0.5695961, 'x': 0.6084153, 'confidence': 0.14267486}","{'y': 0.5399476, 'x': 0.5626505, 'confidence': 0.27397487}","{'y': 0.5573914, 'x': 0.6153938, 'confidence': 0.13690785}","{'y': 0.550311, 'x': 0.54825515, 'confidence': 0.2909571}","{'y': 0.58556974, 'x': 0.6546343, 'confidence': 0.152162}","{'y': 0.58790326, 'x': 0.5462486, 'confidence': 0.15562166}","{'y': 0.6182113, 'x': 0.6718613, 'confidence': 0.09317821}","{'y': 0.55730253, 'x': 0.5543254, 'confidence': 0.09432817}","{'y': 0.6404365, 'x': 0.66399366, 'confidence': 0.057795055}","{'y': 0.69934726, 'x': 0.5845292, 'confidence': 0.17118666}","{'y': 0.65730655, 'x': 0.6350458, 'confidence': 0.07321599}","{'y': 0.65457606, 'x': 0.5671259, 'confidence': 0.06740765}","{'y': 0.7530467, 'x': 0.6468156, 'confidence': 0.0522299}","{'y': 0.7496864, 'x': 0.57242006, 'confidence': 0.095225275}","{'y': 0.754896, 'x': 0.6217694, 'confidence': 0.0694427}","{'y': 0.7307125, 'x': 0.5823991, 'confidence': 0.105001256}"
"{'y': 0.33406237, 'x': 0.4643694, 'confidence': 0.07627944}","{'y': 0.28878635, 'x': 0.49340856, 'confidence': 0.122708075}","{'y': 0.29293042, 'x': 0.3764292, 'confidence': 0.17304297}","{'y': 0.2641814, 'x': 0.51300764, 'confidence': 0.08219347}","{'y': 0.2775761, 'x': 0.34472927, 'confidence': 0.11838629}","{'y': 0.29919097, 'x': 0.55230457, 'confidence': 0.09082644}","{'y': 0.32526925, 'x': 0.29817903, 'confidence': 0.066888295}","{'y': 0.38507792, 'x': 0.630527, 'confidence': 0.09170776}","{'y': 0.366786, 'x': 0.30292916, 'confidence': 0.076448284}","{'y': 0.43012172, 'x': 0.6925087, 'confidence': 0.06337959}","{'y': 0.4571615, 'x': 0.36418846, 'confidence': 0.107192926}","{'y': 0.5370016, 'x': 0.49861664, 'confidence': 0.10793696}","{'y': 0.5385823, 'x': 0.35090902, 'confidence': 0.09637375}","{'y': 0.7069521, 'x': 0.4893517, 'confidence': 0.18029211}","{'y': 0.706957, 'x': 0.42453918, 'confidence': 0.11256643}","{'y': 0.94894403, 'x': 0.39565793, 'confidence': 0.2618884}","{'y': 0.9475034, 'x': 0.38515627, 'confidence': 0.21875057}"
"{'y': 0.30155593, 'x': 0.45272723, 'confidence': 0.03690768}","{'y': 0.2730128, 'x': 0.51514393, 'confidence': 0.049117666}","{'y': 0.25806347, 'x': 0.42642274, 'confidence': 0.03462925}","{'y': 0.21881458, 'x': 0.5662861, 'confidence': 0.020696007}","{'y': 0.2108091, 'x': 0.37312552, 'confidence': 0.022136936}","{'y': 0.32095835, 'x': 0.59679043, 'confidence': 0.06471656}","{'y': 0.29590592, 'x': 0.3508166, 'confidence': 0.06724185}","{'y': 0.54061985, 'x': 0.6186304, 'confidence': 0.03335498}","{'y': 0.50813675, 'x': 0.32440192, 'confidence': 0.036564987}","{'y': 0.6841042, 'x': 0.61131114, 'confidence': 0.042790934}","{'y': 0.6239511, 'x': 0.3628873, 'confidence': 0.028539306}","{'y': 0.678865, 'x': 0.57396615, 'confidence': 0.03425459}","{'y': 0.65321094, 'x': 0.41545945, 'confidence': 0.060033657}","{'y': 0.84756625, 'x': 0.58625364, 'confidence': 0.068158485}","{'y': 0.8189372, 'x': 0.39554435, 'confidence': 0.027386496}","{'y': 0.94397956, 'x': 0.44509917, 'confidence': 0.01943989}","{'y': 0.96215, 'x': 0.42662108, 'confidence': 0.025145072}"
"{'y': 0.5500136, 'x': 0.55725336, 'confidence': 0.22774501}","{'y': 0.5410418, 'x': 0.5607286, 'confidence': 0.24111128}","{'y': 0.54465544, 'x': 0.55166584, 'confidence': 0.23735784}","{'y': 0.5359473, 'x': 0.56398493, 'confidence': 0.22206874}","{'y': 0.4604751, 'x': 0.50213647, 'confidence': 0.06427845}","{'y': 0.5462236, 'x': 0.5556025, 'confidence': 0.20333236}","{'y': 0.50001246, 'x': 0.47837952, 'confidence': 0.06459011}","{'y': 0.540959, 'x': 0.59059787, 'confidence': 0.06473438}","{'y': 0.67152494, 'x': 0.6075328, 'confidence': 0.25784606}","{'y': 0.67644846, 'x': 0.6131876, 'confidence': 0.15714233}","{'y': 0.68608904, 'x': 0.6042817, 'confidence': 0.26051572}","{'y': 0.6901116, 'x': 0.6098107, 'confidence': 0.20165096}","{'y': 0.6913921, 'x': 0.6045403, 'confidence': 0.2107793}","{'y': 0.71563005, 'x': 0.61129034, 'confidence': 0.16437896}","{'y': 0.7310302, 'x': 0.6057023, 'confidence': 0.16994476}","{'y': 0.7136371, 'x': 0.6121151, 'confidence': 0.14875068}","{'y': 0.71338266, 'x': 0.6085025, 'confidence': 0.15589203}"
"{'y': 0.7168621, 'x': 0.3990844, 'confidence': 0.27780905}","{'y': 0.71480066, 'x': 0.36728686, 'confidence': 0.17672753}","{'y': 0.71238184, 'x': 0.39974433, 'confidence': 0.25883612}","{'y': 0.7370836, 'x': 0.3391969, 'confidence': 0.2746185}","{'y': 0.7363127, 'x': 0.394949, 'confidence': 0.31275702}","{'y': 0.82506734, 'x': 0.26049724, 'confidence': 0.23652162}","{'y': 0.8188042, 'x': 0.43423682, 'confidence': 0.31619856}","{'y': 0.96521366, 'x': 0.25914264, 'confidence': 0.14515477}","{'y': 0.95771194, 'x': 0.46289688, 'confidence': 0.1567799}","{'y': 0.96988046, 'x': 0.23660052, 'confidence': 0.15790218}","{'y': 0.96053755, 'x': 0.43138698, 'confidence': 0.07465717}","{'y': 0.9850494, 'x': 0.3286107, 'confidence': 0.16165975}","{'y': 0.9828634, 'x': 0.39956778, 'confidence': 0.15342227}","{'y': 0.9989343, 'x': 0.22932272, 'confidence': 0.07596543}","{'y': 0.99655163, 'x': 0.43377265, 'confidence': 0.09958084}","{'y': 0.9909228, 'x': 0.21607694, 'confidence': 0.03723075}","{'y': 0.9617024, 'x': 0.38933283, 'confidence': 0.04434448}"
"{'y': 0.65224713, 'x': 0.38857317, 'confidence': 0.31640863}","{'y': 0.65051836, 'x': 0.3882975, 'confidence': 0.31558836}","{'y': 0.6499122, 'x': 0.38627014, 'confidence': 0.32946554}","{'y': 0.65056616, 'x': 0.38818827, 'confidence': 0.27883205}","{'y': 0.6494864, 'x': 0.38213953, 'confidence': 0.28301656}","{'y': 0.66543853, 'x': 0.38823405, 'confidence': 0.2869065}","{'y': 0.66517824, 'x': 0.3804902, 'confidence': 0.3147183}","{'y': 0.66515326, 'x': 0.3934036, 'confidence': 0.3060767}","{'y': 0.6635052, 'x': 0.37657133, 'confidence': 0.29120126}","{'y': 0.6767686, 'x': 0.38382977, 'confidence': 0.22223929}","{'y': 0.6812748, 'x': 0.37862787, 'confidence': 0.25957033}","{'y': 0.6945835, 'x': 0.3920794, 'confidence': 0.21524952}","{'y': 0.69609356, 'x': 0.3908137, 'confidence': 0.22230467}","{'y': 0.73577964, 'x': 0.3934501, 'confidence': 0.21426362}","{'y': 0.7356431, 'x': 0.39298022, 'confidence': 0.21590462}","{'y': 0.73205817, 'x': 0.3852824, 'confidence': 0.18077263}","{'y': 0.7264185, 'x': 0.38833776, 'confidence': 0.19152477}"
"{'y': 0.29352915, 'x': 0.38057908, 'confidence': 0.26913697}","{'y': 0.26781774, 'x': 0.39593744, 'confidence': 0.20642681}","{'y': 0.2712693, 'x': 0.36150903, 'confidence': 0.23272152}","{'y': 0.26713955, 'x': 0.4157338, 'confidence': 0.22189415}","{'y': 0.2724575, 'x': 0.33576396, 'confidence': 0.22408088}","{'y': 0.37656584, 'x': 0.4288183, 'confidence': 0.22257659}","{'y': 0.38392848, 'x': 0.30756375, 'confidence': 0.2078827}","{'y': 0.5156494, 'x': 0.5084296, 'confidence': 0.12599683}","{'y': 0.5094379, 'x': 0.28517595, 'confidence': 0.12442972}","{'y': 0.5531982, 'x': 0.5210997, 'confidence': 0.20662208}","{'y': 0.5183588, 'x': 0.36442223, 'confidence': 0.09397349}","{'y': 0.5936098, 'x': 0.4212441, 'confidence': 0.1916141}","{'y': 0.5988596, 'x': 0.33205205, 'confidence': 0.18348944}","{'y': 0.7163821, 'x': 0.44688654, 'confidence': 0.058313176}","{'y': 0.72522724, 'x': 0.34387958, 'confidence': 0.049327243}","{'y': 0.84220225, 'x': 0.3981566, 'confidence': 0.01831053}","{'y': 0.82719743, 'x': 0.3425213, 'confidence': 0.035274234}"
"{'y': 0.52649385, 'x': 0.4531856, 'confidence': 0.26297003}","{'y': 0.5213895, 'x': 0.45383295, 'confidence': 0.26598454}","{'y': 0.5233918, 'x': 0.44708338, 'confidence': 0.24387775}","{'y': 0.52123404, 'x': 0.45983925, 'confidence': 0.24195288}","{'y': 0.5243798, 'x': 0.4417591, 'confidence': 0.22723517}","{'y': 0.49915543, 'x': 0.50078547, 'confidence': 0.103790805}","{'y': 0.53555334, 'x': 0.4490257, 'confidence': 0.21394418}","{'y': 0.5694993, 'x': 0.5240234, 'confidence': 0.061809823}","{'y': 0.5548567, 'x': 0.45409006, 'confidence': 0.08024367}","{'y': 0.576949, 'x': 0.5444026, 'confidence': 0.046972305}","{'y': 0.5495717, 'x': 0.46297732, 'confidence': 0.07078922}","{'y': 0.5870305, 'x': 0.51588047, 'confidence': 0.076523475}","{'y': 0.5667155, 'x': 0.49846354, 'confidence': 0.067719474}","{'y': 0.7041122, 'x': 0.46988362, 'confidence': 0.057750456}","{'y': 0.7058728, 'x': 0.4689313, 'confidence': 0.067668214}","{'y': 0.74692124, 'x': 0.4653446, 'confidence': 0.05001507}","{'y': 0.74588245, 'x': 0.46638316, 'confidence': 0.06175059}"
"{'y': 0.53081733, 'x': 0.5514379, 'confidence': 0.34873146}","{'y': 0.52514064, 'x': 0.550786, 'confidence': 0.3198533}","{'y': 0.5271721, 'x': 0.5481031, 'confidence': 0.34528664}","{'y': 0.5254317, 'x': 0.5485275, 'confidence': 0.33562824}","{'y': 0.52876353, 'x': 0.54213864, 'confidence': 0.3309283}","{'y': 0.55370027, 'x': 0.54527634, 'confidence': 0.30758616}","{'y': 0.55403656, 'x': 0.54495317, 'confidence': 0.32339358}","{'y': 0.58369863, 'x': 0.5600418, 'confidence': 0.14290445}","{'y': 0.5639593, 'x': 0.54774123, 'confidence': 0.24153079}","{'y': 0.6048353, 'x': 0.5678715, 'confidence': 0.09522612}","{'y': 0.5953545, 'x': 0.54821765, 'confidence': 0.1203767}","{'y': 0.616151, 'x': 0.5535875, 'confidence': 0.16019048}","{'y': 0.6171538, 'x': 0.55301934, 'confidence': 0.15889885}","{'y': 0.68745524, 'x': 0.59455264, 'confidence': 0.09970519}","{'y': 0.6916554, 'x': 0.60154575, 'confidence': 0.12742378}","{'y': 0.6823524, 'x': 0.6019234, 'confidence': 0.14834365}","{'y': 0.681421, 'x': 0.60267067, 'confidence': 0.1344851}"
"{'y': 0.44440794, 'x': 0.5051284, 'confidence': 0.12785006}","{'y': 0.41837195, 'x': 0.50577223, 'confidence': 0.12008398}","{'y': 0.41792253, 'x': 0.47806454, 'confidence': 0.10911644}","{'y': 0.40223038, 'x': 0.52689964, 'confidence': 0.117494725}","{'y': 0.3988536, 'x': 0.4506014, 'confidence': 0.13758884}","{'y': 0.4526942, 'x': 0.5251655, 'confidence': 0.15369}","{'y': 0.47037238, 'x': 0.45902744, 'confidence': 0.13173708}","{'y': 0.5339323, 'x': 0.536399, 'confidence': 0.16527225}","{'y': 0.54025555, 'x': 0.48737925, 'confidence': 0.0980062}","{'y': 0.5559023, 'x': 0.52967733, 'confidence': 0.17015743}","{'y': 0.5617668, 'x': 0.5286458, 'confidence': 0.23500362}","{'y': 0.61264366, 'x': 0.5088384, 'confidence': 0.09940497}","{'y': 0.6197663, 'x': 0.4823472, 'confidence': 0.105501525}","{'y': 0.80224675, 'x': 0.56183124, 'confidence': 0.12011632}","{'y': 0.76058704, 'x': 0.4858139, 'confidence': 0.066773735}","{'y': 0.80596715, 'x': 0.54063535, 'confidence': 0.041684385}","{'y': 0.81533897, 'x': 0.50319064, 'confidence': 0.030665787}"
"{'y': 0.5459801, 'x': 0.45024896, 'confidence': 0.28575787}","{'y': 0.5421119, 'x': 0.4498652, 'confidence': 0.2662695}","{'y': 0.5427667, 'x': 0.4477336, 'confidence': 0.27530333}","{'y': 0.5454225, 'x': 0.4503832, 'confidence': 0.27174252}","{'y': 0.54615426, 'x': 0.44414368, 'confidence': 0.27302083}","{'y': 0.5606693, 'x': 0.44808838, 'confidence': 0.24939756}","{'y': 0.5618657, 'x': 0.44629118, 'confidence': 0.28763986}","{'y': 0.56508774, 'x': 0.45074376, 'confidence': 0.16723935}","{'y': 0.56062204, 'x': 0.4453245, 'confidence': 0.19988245}","{'y': 0.5747733, 'x': 0.45881355, 'confidence': 0.15966795}","{'y': 0.5757935, 'x': 0.45560014, 'confidence': 0.17918591}","{'y': 0.59716046, 'x': 0.4590195, 'confidence': 0.12752296}","{'y': 0.5996224, 'x': 0.45817846, 'confidence': 0.1280799}","{'y': 0.72226965, 'x': 0.4099455, 'confidence': 0.23360097}","{'y': 0.67644554, 'x': 0.42188907, 'confidence': 0.08863198}","{'y': 0.7212622, 'x': 0.4050169, 'confidence': 0.21078785}","{'y': 0.7201762, 'x': 0.40781322, 'confidence': 0.23309176}"
"{'y': 0.5318223, 'x': 0.45918676, 'confidence': 0.12905619}","{'y': 0.5276369, 'x': 0.46054438, 'confidence': 0.10376082}","{'y': 0.5299133, 'x': 0.46116105, 'confidence': 0.102308825}","{'y': 0.52726567, 'x': 0.4663465, 'confidence': 0.10057908}","{'y': 0.5300562, 'x': 0.46660322, 'confidence': 0.093767375}","{'y': 0.53814, 'x': 0.45082846, 'confidence': 0.13552475}","{'y': 0.5394598, 'x': 0.46744192, 'confidence': 0.11454873}","{'y': 0.54540235, 'x': 0.4564446, 'confidence': 0.105596535}","{'y': 0.5410684, 'x': 0.45649165, 'confidence': 0.10384636}","{'y': 0.5509169, 'x': 0.4652862, 'confidence': 0.07254553}","{'y': 0.5510114, 'x': 0.46508485, 'confidence': 0.07650326}","{'y': 0.6146309, 'x': 0.52518, 'confidence': 0.04331792}","{'y': 0.61735874, 'x': 0.5280922, 'confidence': 0.039802965}","{'y': 0.7793609, 'x': 0.37876162, 'confidence': 0.10223801}","{'y': 0.58740693, 'x': 0.46499765, 'confidence': 0.063838355}","{'y': 0.7547823, 'x': 0.38195303, 'confidence': 0.058360223}","{'y': 0.72062856, 'x': 0.38372892, 'confidence': 0.057476692}"
"{'y': 0.5339523, 'x': 0.5352013, 'confidence': 0.21603806}","{'y': 0.51249313, 'x': 0.5320563, 'confidence': 0.16044445}","{'y': 0.5143469, 'x': 0.52709496, 'confidence': 0.18381436}","{'y': 0.51095986, 'x': 0.5276512, 'confidence': 0.18147257}","{'y': 0.4312218, 'x': 0.454055, 'confidence': 0.05468477}","{'y': 0.527554, 'x': 0.5200883, 'confidence': 0.250081}","{'y': 0.53075385, 'x': 0.52881414, 'confidence': 0.23652202}","{'y': 0.54993784, 'x': 0.5372879, 'confidence': 0.23388591}","{'y': 0.54936725, 'x': 0.5349404, 'confidence': 0.17522126}","{'y': 0.5518718, 'x': 0.52641654, 'confidence': 0.1681239}","{'y': 0.5529207, 'x': 0.52761734, 'confidence': 0.17287754}","{'y': 0.5956425, 'x': 0.5115881, 'confidence': 0.12760681}","{'y': 0.5982504, 'x': 0.5118654, 'confidence': 0.12419644}","{'y': 0.6759148, 'x': 0.49186164, 'confidence': 0.08077176}","{'y': 0.6836595, 'x': 0.5478595, 'confidence': 0.09443556}","{'y': 0.7310555, 'x': 0.50620073, 'confidence': 0.048423685}","{'y': 0.7806202, 'x': 0.5161967, 'confidence': 0.072603114}"
"{'y': 0.8409684, 'x': 0.6124215, 'confidence': 0.09793013}","{'y': 0.8150092, 'x': 0.61423784, 'confidence': 0.09027349}","{'y': 0.81681806, 'x': 0.59667665, 'confidence': 0.102688946}","{'y': 0.8137878, 'x': 0.63576233, 'confidence': 0.08029394}","{'y': 0.8172592, 'x': 0.5978302, 'confidence': 0.09816372}","{'y': 0.8684488, 'x': 0.6515224, 'confidence': 0.12935899}","{'y': 0.87033606, 'x': 0.61385787, 'confidence': 0.094560966}","{'y': 0.91753733, 'x': 0.65065986, 'confidence': 0.1367033}","{'y': 0.9051433, 'x': 0.61857855, 'confidence': 0.07646656}","{'y': 0.95178574, 'x': 0.6174034, 'confidence': 0.08691903}","{'y': 0.96482825, 'x': 0.573666, 'confidence': 0.22219543}","{'y': 0.9597684, 'x': 0.65643376, 'confidence': 0.0805422}","{'y': 0.9624755, 'x': 0.629935, 'confidence': 0.10095474}","{'y': 0.9755438, 'x': 0.60641134, 'confidence': 0.081665695}","{'y': 0.97579753, 'x': 0.59695005, 'confidence': 0.080262214}","{'y': 0.98370147, 'x': 0.58644783, 'confidence': 0.08329173}","{'y': 0.9817698, 'x': 0.58338195, 'confidence': 0.104512386}"
"{'y': 0.72286993, 'x': 0.4112288, 'confidence': 0.15546988}","{'y': 0.71815175, 'x': 0.40755436, 'confidence': 0.12627172}","{'y': 0.71810836, 'x': 0.41117486, 'confidence': 0.13200638}","{'y': 0.723867, 'x': 0.4068448, 'confidence': 0.12010137}","{'y': 0.7253573, 'x': 0.40575615, 'confidence': 0.123900644}","{'y': 0.41323322, 'x': 0.6056747, 'confidence': 0.038836718}","{'y': 0.74049336, 'x': 0.4264805, 'confidence': 0.12357831}","{'y': 0.5000356, 'x': 0.5959252, 'confidence': 0.046693005}","{'y': 0.5006604, 'x': 0.59798634, 'confidence': 0.038534656}","{'y': 0.54415715, 'x': 0.5595434, 'confidence': 0.019062294}","{'y': 0.55195075, 'x': 0.5107054, 'confidence': 0.015337952}","{'y': 0.59174675, 'x': 0.5835389, 'confidence': 0.026414903}","{'y': 0.5926651, 'x': 0.58762777, 'confidence': 0.027615363}","{'y': 0.68058634, 'x': 0.5555814, 'confidence': 0.023184067}","{'y': 0.6861246, 'x': 0.54104203, 'confidence': 0.017223999}","{'y': 0.7922144, 'x': 0.49377757, 'confidence': 0.026162438}","{'y': 0.77447313, 'x': 0.44261038, 'confidence': 0.022554759}"
"{'y': 0.5451599, 'x': 0.43675506, 'confidence': 0.25009266}","{'y': 0.54315597, 'x': 0.4362205, 'confidence': 0.20302294}","{'y': 0.54400337, 'x': 0.43689775, 'confidence': 0.23119089}","{'y': 0.5464422, 'x': 0.43696025, 'confidence': 0.22167692}","{'y': 0.5474701, 'x': 0.43614078, 'confidence': 0.21651517}","{'y': 0.5549451, 'x': 0.43572164, 'confidence': 0.22385406}","{'y': 0.5583179, 'x': 0.43983975, 'confidence': 0.2229657}","{'y': 0.5533272, 'x': 0.43989342, 'confidence': 0.19857459}","{'y': 0.554312, 'x': 0.44135904, 'confidence': 0.19463222}","{'y': 0.55661446, 'x': 0.44723657, 'confidence': 0.1453217}","{'y': 0.55699325, 'x': 0.44740275, 'confidence': 0.15131816}","{'y': 0.6001977, 'x': 0.4355026, 'confidence': 0.0952311}","{'y': 0.60299015, 'x': 0.4358198, 'confidence': 0.09495699}","{'y': 0.6873877, 'x': 0.37650478, 'confidence': 0.17695868}","{'y': 0.6846284, 'x': 0.38239154, 'confidence': 0.16167653}","{'y': 0.6955563, 'x': 0.37649703, 'confidence': 0.12521149}","{'y': 0.6947098, 'x': 0.37894696, 'confidence': 0.14350884}"
"{'y': 0.27051696, 'x': 0.5818324, 'confidence': 0.09568556}","{'y': 0.24756363, 'x': 0.60052955, 'confidence': 0.14916553}","{'y': 0.25288424, 'x': 0.5777422, 'confidence': 0.10565316}","{'y': 0.24711312, 'x': 0.6032927, 'confidence': 0.11806196}","{'y': 0.2377663, 'x': 0.5377178, 'confidence': 0.13322389}","{'y': 0.28899956, 'x': 0.6165012, 'confidence': 0.1279847}","{'y': 0.273039, 'x': 0.53340375, 'confidence': 0.14330065}","{'y': 0.3008985, 'x': 0.68935156, 'confidence': 0.082150795}","{'y': 0.26476777, 'x': 0.49225017, 'confidence': 0.08775194}","{'y': 0.30727956, 'x': 0.6988218, 'confidence': 0.08563927}","{'y': 0.28616092, 'x': 0.50355804, 'confidence': 0.07306123}","{'y': 0.5423034, 'x': 0.5928481, 'confidence': 0.104384154}","{'y': 0.51730937, 'x': 0.50945204, 'confidence': 0.08047627}","{'y': 0.73960704, 'x': 0.54325986, 'confidence': 0.07872455}","{'y': 0.7280164, 'x': 0.51758987, 'confidence': 0.1208785}","{'y': 0.940148, 'x': 0.49451256, 'confidence': 0.08197518}","{'y': 0.92302215, 'x': 0.4223248, 'confidence': 0.08682344}"
